0,12,"The Raven's Claw,"
1,367,Quilboar Watering Hole
2,367,Spring Well
4,7947,izebize
5,367,Grimtotem Tent
6,367,Grimtotem Tent
7,367,Grimtotem Tent
8,367,Blackhoof Village Windmill
11,10,Shipwreck Debris
31,6,Old Lion Statue
32,10,Sunken Chest
33,1,Locked Chest
34,7,Old Jug
35,8,Captain's Footlocker
36,9,Broken Barrel
37,19,Eliza's Tombstone
38,10,Captain Sanders Chest
41,10,Ambassador's Locker
47,17,Wanted!
52,5,Fall of Gurubashi
54,5,The Emperor's Tomb
55,14,A half-eaten body
56,14,Rolf's corpse
57,5,Bloodscalp Lore Tablet
58,5,Gri'lek the Wanderer
59,20,Mound of loose dirt
60,2,Wanted: Gath'Ilzogg
61,12,A Weathered Grave
68,17,Wanted Poster
69,17,Wanted Poster
76,21,An Empty Jar
80,22,Old Coast Road
81,22,Sentinel Hill
82,22,Elwynn Forest
83,22,Jangolode Mine
84,22,Old Coast Road
85,22,Duskwood
86,22,Elwynn Forest
87,22,Moonbrook
88,22,Duskwood
89,26,Northshire Abbey
90,26,Stormwind City
91,26,Northshire Abbey
92,26,Stormwind City
93,26,Westbrook Garrison
94,26,Westfall
95,26,Eastvale Logging Camp
96,26,Redridge
97,26,Goldshire
98,26,Stormwind City
99,26,Redridge
100,26,Eastvale Logging Camp
101,27,Stranglethorn
102,27,Raven Hill
103,27,Deadwind Pass
104,27,Redridge
105,27,Stranglethorn
106,27,Westfall
107,27,Darkshire
108,27,Raven Hill
109,27,Westfall
110,27,Stranglethorn
111,27,Raven Hill
112,27,Darkshire
113,26,Duskwood
114,26,Lakeshire
115,26,Elwynn
116,26,Stonewatch Keep
117,26,Lakeshire
118,26,Stonewatch Keep
119,18,Abercrombie's Crate
121,22,Duskwood
122,22,Sentinel Hill
123,22,Elwynn Forest
124,22,Moonbrook
156,2089,Artificial Extrapolator
164,359,Scaber Stalk
167,335,Abercrombie's Crate
249,336,Crate of Foodstuffs
251,336,Research Equipment
254,17,Wanted: Chok'Sul
256,17,Wanted!
257,30,Suspicious Barrel
259,32,Half-buried Barrel
261,31,Damaged Crate
263,36,Kurzen Supplies
264,36,Kurzen Supplies
269,32,Guarded Thunder Ale Barrel
270,32,Unguarded Thunder Ale Barrel
271,36,Miners' League Crates
272,1,MacGrann's Meat Locker
276,644,Shimmerweed Basket
287,43,Bookie Herod's Records
288,1,Bookie Herod's Strongbox
290,4,Furlbrow's Wardrobe
298,26,Thelsamar
299,26,Searing Gorge
301,26,Wetlands
302,26,Dun Morogh
303,26,Dun Morogh
304,26,Wetlands
305,26,Thelsamar
306,26,Thelsamar
307,26,Searing Gorge
308,26,Dun Morogh
309,26,Anvilmar
310,26,Ironforge
311,26,Loch Modan
312,26,Kharanos
313,26,Anvilmar
314,26,Ironforge
315,26,Ironforge
316,26,Kharanos
317,26,Anvilmar
318,26,Loch Modan
321,63,Tear of Tilloa
324,3951,Small Thorium Vein
331,49,Loose Soil
333,52,Ancient Relic
